x,close
2016-12-30,9.32
2016-12-29,9.43
2016-12-28,9.48
2016-12-27,9.13
2016-12-26,9.09
2016-12-23,9.24
2016-12-22,9.03
2016-12-21,9.0
2016-12-20,8.98
2016-12-19,8.92
2016-12-16,8.93
2016-12-15,8.73
2016-12-14,8.67
2016-12-13,8.76
2016-12-12,8.77
2016-12-09,9.47
2016-12-08,9.5
2016-12-07,9.6
2016-12-06,9.54
2016-12-05,9.49
2016-12-02,9.54
2016-12-01,9.67
2016-11-30,9.59
2016-11-29,9.66
2016-11-28,9.87
2016-11-25,9.91
2016-11-24,9.97
2016-11-23,10.2
2016-11-22,10.16
2016-11-21,10.1
2016-11-18,9.85
2016-11-17,9.85
2016-11-16,9.88
2016-11-15,9.89
2016-11-14,9.87
2016-11-11,9.87
2016-11-10,9.82
2016-11-09,9.63
2016-11-08,9.75
2016-11-07,9.71
2016-11-04,9.63
2016-11-03,9.57
2016-11-02,9.53
2016-11-01,9.55
2016-10-31,9.47
2016-10-28,9.57
2016-10-27,9.76
2016-10-26,9.71
2016-10-25,9.85
2016-10-24,9.79
2016-10-21,9.79
2016-10-20,9.86
2016-10-19,9.86
2016-10-18,9.67
2016-10-17,9.51
2016-10-14,9.7
2016-10-13,9.78
2016-10-12,9.7
2016-10-11,9.67
2016-10-10,9.56
2016-09-30,9.41
2016-09-29,9.4
2016-09-28,9.38
2016-09-27,9.29
2016-09-26,9.26
2016-09-23,9.35
2016-09-22,9.36
2016-09-21,9.29
2016-09-20,9.3
2016-09-19,9.43
2016-09-14,9.24
2016-09-13,9.28
2016-09-12,9.15
2016-09-09,9.6
2016-09-08,9.68
2016-09-07,9.63
2016-09-06,9.68
2016-09-05,9.53
2016-09-02,9.51
2016-09-01,9.69
2016-08-31,9.74
2016-08-30,9.72
2016-08-29,9.6
2016-08-26,9.61
2016-08-25,9.54
2016-08-24,9.79
2016-08-23,9.76
2016-08-22,9.9
2016-08-19,9.94
2016-08-18,10.04
2016-08-17,9.98
2016-08-16,10.01
2016-08-15,10.04
2016-08-12,9.8
2016-08-11,9.36
2016-08-10,9.69
2016-08-09,9.81
2016-08-08,9.76
2016-08-05,9.07
2016-08-04,9.45
2016-08-03,9.38
2016-08-02,9.36
2016-08-01,9.22
2016-07-29,9.47
2016-07-28,9.63
2016-07-27,9.53
2016-07-26,10.28
2016-07-25,10.09
2016-07-22,10.11
2016-07-21,10.34
2016-07-20,10.29
2016-07-19,10.49
2016-07-18,10.17
2016-07-15,10.28
2016-07-14,10.64
2016-07-13,10.71
2016-07-12,10.7
2016-07-11,10.95
2016-07-08,10.7
2016-07-07,11.06
2016-07-06,10.44
2016-07-05,10.54
2016-07-04,10.41
2016-07-01,10.31
2016-06-30,10.71
2016-06-29,10.39
2016-06-28,10.3
2016-06-27,10.7
2016-06-24,10.24
2016-06-23,10.29
2016-06-22,10.55
2016-06-21,10.74
2016-06-20,10.84
2016-06-17,10.88
2016-06-16,9.89
2016-06-15,8.99
2016-06-14,8.17
2016-06-13,8.11
2016-06-08,8.87
2016-06-07,9.05
2016-06-06,8.96
2016-06-03,9.02
2016-06-02,9.21
2016-06-01,8.37
2016-05-31,8.12
2016-05-30,7.74
2016-05-27,7.92
2016-05-26,7.82
2016-05-25,7.87
2016-05-24,7.98
2016-05-23,7.75
2016-05-20,7.67
2016-05-19,7.53
2016-05-18,7.45
2016-05-17,7.68
2016-05-16,7.69
2016-05-13,7.43
2016-05-12,7.59
2016-05-11,7.69
2016-05-10,7.75
2016-05-09,7.75
2016-05-06,8.13
2016-05-05,8.64
2016-05-04,8.62
2016-05-03,8.53
2016-04-29,8.23
2016-04-28,8.3
2016-04-27,8.42
2016-04-26,8.22
2016-04-25,8.04
2016-04-22,8.11
2016-04-21,8.11
2016-04-20,8.24
2016-04-19,8.9
2016-04-18,8.96
2016-04-15,8.87
2016-04-14,8.82
2016-04-13,8.6
2016-04-12,8.49
2016-04-11,8.59
2016-04-08,8.47
2016-04-07,8.57
2016-04-06,8.75
2016-04-05,8.68
2016-04-01,8.51
2016-03-31,8.45
2016-03-30,8.46
2016-03-29,8.21
2016-03-28,8.33
2016-03-25,8.33
2016-03-24,8.37
2016-03-23,8.36
2016-03-22,8.31
2016-03-21,8.4
2016-03-18,8.22
2016-03-17,7.94
2016-03-16,7.71
2016-03-15,7.9
2016-03-14,7.95
2016-03-11,7.7
2016-03-10,7.67
2016-03-09,7.72
2016-03-08,7.86
2016-03-07,7.85
2016-03-04,7.49
2016-03-03,7.89
2016-03-02,7.97
2016-03-01,7.48
2016-02-29,7.23
2016-02-26,7.82
2016-02-25,8.04
2016-02-24,8.93
2016-02-23,8.81
2016-02-22,9.06
2016-02-19,8.91
2016-02-18,8.96
2016-02-17,9.25
2016-02-16,9.56
2016-02-15,8.99
2016-02-05,8.8
2016-02-04,8.62
2016-02-03,8.62
2016-02-02,8.02
2016-02-01,7.58
2016-01-29,7.16
2016-01-28,6.85
2016-01-27,6.98
2016-01-26,7.01
2016-01-25,7.79
2016-01-22,7.69
2016-01-21,7.59
2016-01-20,7.96
2016-01-19,7.98
2016-01-18,7.69
2016-01-15,7.61
2016-01-14,7.66
2016-01-13,7.38
2016-01-12,7.67
2016-01-11,7.59
2016-01-08,8.44
2016-01-07,8.36
2016-01-06,9.29
2016-01-05,9.04
2016-01-04,9.3
