x,close
2016-12-30,4.01
2016-12-29,4.05
2016-12-28,4.16
2016-12-27,3.9
2016-12-26,3.91
2016-12-23,3.81
2016-12-22,3.94
2016-12-21,4.03
2016-12-20,4.01
2016-12-19,4.1
2016-12-16,4.23
2016-12-15,4.4
2016-12-14,4.56
2016-12-13,4.52
2016-12-12,4.11
2016-12-09,4.45
2016-12-08,4.59
2016-12-07,4.59
2016-12-06,4.78
2016-12-05,4.6
2016-12-02,4.5
2016-12-01,4.52
2016-11-30,4.41
2016-11-29,4.39
2016-11-28,4.39
2016-11-25,4.39
2016-11-24,4.84
2016-11-23,4.75
2016-11-22,4.96
2016-11-21,5.01
2016-11-18,5.01
2016-11-17,4.63
2016-11-16,4.86
2016-11-15,4.92
2016-11-14,4.68
2016-11-11,4.67
2016-11-10,4.48
2016-11-09,4.27
2016-11-08,4.37
2016-11-07,4.36
2016-11-04,4.27
2016-11-03,4.3
2016-11-02,4.22
2016-11-01,4.29
2016-10-31,4.23
2016-10-28,4.31
2016-10-27,4.23
2016-10-26,4.22
2016-10-25,4.27
2016-10-24,4.32
2016-10-21,4.26
2016-10-20,4.38
2016-10-19,4.36
2016-10-18,4.18
2016-10-17,4.13
2016-10-14,4.18
2016-10-13,4.14
2016-10-12,4.16
2016-10-11,4.19
2016-10-10,4.19
2016-09-30,4.02
2016-09-29,3.92
2016-09-28,3.88
2016-09-27,3.89
2016-09-26,3.86
2016-09-23,3.98
2016-09-22,3.98
2016-09-21,4.01
2016-09-20,3.98
2016-09-19,3.99
2016-09-14,3.96
2016-09-13,3.98
2016-09-12,3.88
2016-09-09,3.96
2016-09-08,4.1
2016-09-07,4.11
2016-09-06,4.16
2016-09-05,4.07
2016-09-02,4.05
2016-09-01,4.07
2016-08-31,4.11
2016-08-30,4.13
2016-08-29,4.21
2016-08-26,4.36
2016-08-25,4.47
2016-08-24,4.39
2016-08-23,4.32
2016-08-22,4.34
2016-08-19,4.56
2016-08-18,4.29
2016-08-17,4.33
2016-08-16,4.21
2016-08-15,4.17
2016-08-12,4.05
2016-08-11,4.02
2016-08-10,4.07
2016-08-09,4.12
2016-08-08,3.94
2016-08-05,3.93
2016-08-04,3.97
2016-08-03,3.91
2016-08-02,3.92
2016-08-01,3.82
2016-07-29,3.89
2016-07-28,3.88
2016-07-27,3.97
2016-07-26,4.14
2016-07-25,4.12
2016-07-22,4.06
2016-07-21,4.19
2016-07-20,4.3
2016-07-19,4.31
2016-07-18,4.31
2016-07-15,4.26
2016-07-14,4.35
2016-07-13,4.51
2016-07-12,4.51
2016-07-11,4.51
2016-07-08,5.01
2016-07-07,4.9
2016-07-06,4.86
2016-07-05,4.64
2016-07-04,4.66
2016-07-01,4.68
2016-06-30,4.66
2016-06-29,4.45
2016-06-28,4.41
2016-06-27,4.34
2016-06-24,4.21
2016-06-23,4.31
2016-06-22,4.36
2016-06-21,4.19
2016-06-20,4.24
2016-06-17,4.01
2016-06-16,3.91
2016-06-15,3.89
2016-06-14,3.69
2016-06-13,3.67
2016-06-08,3.84
2016-06-07,3.83
2016-06-06,3.88
2016-06-03,3.87
2016-06-02,3.9
2016-06-01,3.94
2016-05-31,4.01
2016-05-30,3.94
2016-05-27,3.96
2016-05-26,3.89
2016-05-25,3.94
2016-05-24,3.94
2016-05-23,3.94
2016-05-20,3.94
2016-05-19,3.94
2016-05-18,3.94
2016-05-17,3.94
2016-05-16,3.94
2016-05-13,3.94
2016-05-12,3.94
2016-05-11,3.94
2016-05-10,3.76
2016-05-09,3.82
2016-05-06,3.94
2016-05-05,4.0
2016-05-04,4.0
2016-05-03,4.07
2016-04-29,4.06
2016-04-28,4.06
2016-04-27,4.12
2016-04-26,4.06
2016-04-25,3.96
2016-04-22,3.98
2016-04-21,3.99
2016-04-20,3.99
2016-04-19,4.06
2016-04-18,4.08
2016-04-15,4.09
2016-04-14,4.55
2016-04-13,4.45
2016-04-12,4.41
2016-04-11,4.43
2016-04-08,4.21
2016-04-07,4.21
2016-04-06,4.24
2016-04-05,4.11
2016-04-01,4.02
2016-03-31,4.1
2016-03-30,4.06
2016-03-29,3.97
2016-03-28,4.1
2016-03-25,4.16
2016-03-24,3.96
2016-03-23,4.18
2016-03-22,4.08
2016-03-21,3.96
2016-03-18,3.91
2016-03-17,3.66
2016-03-16,3.52
2016-03-15,3.62
2016-03-14,3.66
2016-03-11,3.53
2016-03-10,3.46
2016-03-09,3.64
2016-03-08,3.74
2016-03-07,3.48
2016-03-04,3.41
2016-03-03,3.35
2016-03-02,3.29
2016-03-01,3.13
2016-02-29,3.01
2016-02-26,3.21
2016-02-25,3.24
2016-02-24,3.44
2016-02-23,3.48
2016-02-22,3.45
2016-02-19,3.39
2016-02-18,3.29
2016-02-17,3.23
2016-02-16,3.23
2016-02-15,3.11
2016-02-05,3.18
2016-02-04,3.18
2016-02-03,3.11
2016-02-02,3.17
2016-02-01,3.12
2016-01-29,3.12
2016-01-28,3.01
2016-01-27,3.11
2016-01-26,3.14
2016-01-25,3.49
2016-01-22,3.3
2016-01-21,3.38
2016-01-20,3.56
2016-01-19,3.23
2016-01-18,2.94
2016-01-15,2.94
2016-01-14,3.27
2016-01-13,3.53
2016-01-12,3.93
2016-01-11,3.89
2016-01-08,4.06
2016-01-07,3.79
2016-01-06,4.21
2016-01-05,4.11
2016-01-04,4.07
