x,close
2016-12-30,9.61
2016-12-29,9.58
2016-12-28,9.56
2016-12-27,9.46
2016-12-26,9.43
2016-12-23,9.28
2016-12-22,9.5
2016-12-21,9.54
2016-12-20,9.51
2016-12-19,9.41
2016-12-16,9.4
2016-12-15,9.38
2016-12-14,9.26
2016-12-13,9.23
2016-12-12,9.36
2016-12-09,9.75
2016-12-08,9.74
2016-12-07,9.79
2016-12-06,9.68
2016-12-05,9.64
2016-12-02,9.72
2016-12-01,9.89
2016-11-30,9.85
2016-11-29,9.79
2016-11-28,9.99
2016-11-25,9.81
2016-11-24,9.95
2016-11-23,9.97
2016-11-22,10.09
2016-11-21,10.13
2016-11-18,10.19
2016-11-17,9.87
2016-11-16,9.97
2016-11-15,9.87
2016-11-14,9.73
2016-11-11,9.66
2016-11-10,9.65
2016-11-09,9.55
2016-11-08,9.69
2016-11-07,9.73
2016-11-04,9.53
2016-11-03,9.51
2016-11-02,9.4
2016-11-01,9.49
2016-10-31,9.39
2016-10-28,9.43
2016-10-27,9.49
2016-10-26,9.51
2016-10-25,9.66
2016-10-24,9.65
2016-10-21,9.4
2016-10-20,9.47
2016-10-19,9.46
2016-10-18,9.63
2016-10-17,9.5
2016-10-14,9.69
2016-10-13,9.67
2016-10-12,9.72
2016-10-11,9.5
2016-10-10,9.51
2016-09-30,9.29
2016-09-29,9.27
2016-09-28,9.31
2016-09-27,9.28
2016-09-26,9.29
2016-09-23,9.36
2016-09-22,9.49
2016-09-21,9.55
2016-09-20,9.46
2016-09-19,9.42
2016-09-14,9.37
2016-09-13,9.22
2016-09-12,9.19
2016-09-09,9.44
2016-09-08,9.39
2016-09-07,9.44
2016-09-06,9.48
2016-09-05,9.51
2016-09-02,9.5
2016-09-01,9.31
2016-08-31,9.5
2016-08-30,9.52
2016-08-29,9.58
2016-08-26,9.47
2016-08-25,9.2
2016-08-24,9.09
2016-08-23,9.19
2016-08-22,9.0
2016-08-19,8.98
2016-08-18,9.09
2016-08-17,9.19
2016-08-16,9.15
2016-08-15,9.09
2016-08-12,8.87
2016-08-11,8.73
2016-08-10,8.89
2016-08-09,8.97
2016-08-08,8.86
2016-08-05,8.83
2016-08-04,8.93
2016-08-03,8.84
2016-08-02,8.63
2016-08-01,8.6
2016-07-29,8.6
2016-07-28,8.55
2016-07-27,8.56
2016-07-26,9.0
2016-07-25,8.89
2016-07-22,8.86
2016-07-21,8.98
2016-07-20,8.99
2016-07-19,9.0
2016-07-18,8.93
2016-07-15,9.1
2016-07-14,9.18
2016-07-13,9.15
2016-07-12,9.02
2016-07-11,8.96
2016-07-08,9.1
2016-07-07,9.26
2016-07-06,9.15
2016-07-05,9.14
2016-07-04,9.12
2016-07-01,9.03
2016-06-30,8.91
2016-06-29,9.1
2016-06-28,9.29
2016-06-27,9.32
2016-06-24,9.28
2016-06-23,9.18
2016-06-22,9.34
2016-06-21,9.47
2016-06-20,9.71
2016-06-17,9.52
2016-06-16,8.65
2016-06-15,8.42
2016-06-14,7.91
2016-06-13,8.03
2016-06-08,8.29
2016-06-07,8.35
2016-06-06,8.32
2016-06-03,8.24
2016-06-02,8.31
2016-06-01,8.09
2016-05-31,8.1
2016-05-30,7.77
2016-05-27,7.73
2016-05-26,7.77
2016-05-25,7.77
2016-05-24,7.94
2016-05-23,8.11
2016-05-20,8.0
2016-05-19,8.07
2016-05-18,7.96
2016-05-17,8.22
2016-05-16,8.39
2016-05-13,8.17
2016-05-12,8.18
2016-05-11,8.04
2016-05-10,7.98
2016-05-09,7.45
2016-05-06,7.61
2016-05-05,8.01
2016-05-04,7.96
2016-05-03,8.02
2016-04-29,7.68
2016-04-28,7.75
2016-04-27,7.73
2016-04-26,7.78
2016-04-25,7.76
2016-04-22,7.53
2016-04-21,7.5
2016-04-20,7.5
2016-04-19,8.05
2016-04-18,8.06
2016-04-15,8.16
2016-04-14,8.12
2016-04-13,8.15
2016-04-12,8.1
2016-04-11,8.8
2016-04-08,8.64
2016-04-07,8.63
2016-04-06,8.63
2016-04-05,8.79
2016-04-01,8.73
2016-03-31,8.4
2016-03-30,8.44
2016-03-29,8.27
2016-03-28,8.17
2016-03-25,7.55
2016-03-24,7.39
2016-03-23,7.51
2016-03-22,7.5
2016-03-21,7.66
2016-03-18,7.42
2016-03-17,7.14
2016-03-16,6.95
2016-03-15,7.04
2016-03-14,7.13
2016-03-11,6.85
2016-03-10,6.85
2016-03-09,7.02
2016-03-08,7.23
2016-03-07,7.19
2016-03-04,7.03
2016-03-03,7.4
2016-03-02,7.44
2016-03-01,7.0
2016-02-29,6.86
2016-02-26,7.59
2016-02-25,7.38
2016-02-24,7.51
2016-02-23,7.42
2016-02-22,7.55
2016-02-19,7.38
2016-02-18,7.39
2016-02-17,7.39
2016-02-16,7.38
2016-02-15,7.0
2016-02-05,7.13
2016-02-04,7.21
2016-02-03,7.12
2016-02-02,7.04
2016-02-01,6.87
2016-01-29,6.98
2016-01-28,6.6
2016-01-27,6.91
2016-01-26,6.95
2016-01-25,7.72
2016-01-22,7.51
2016-01-21,7.35
2016-01-20,7.64
2016-01-19,7.8
2016-01-18,7.55
2016-01-15,7.4
2016-01-14,7.8
2016-01-13,7.66
2016-01-12,7.95
2016-01-11,7.91
2016-01-08,8.78
2016-01-07,8.59
2016-01-06,9.53
2016-01-05,9.17
2016-01-04,9.29
