x,close
2016-12-30,8.85
2016-12-29,8.76
2016-12-28,8.95
2016-12-27,9.1
2016-12-26,9.0
2016-12-23,9.19
2016-12-22,9.17
2016-12-21,9.14
2016-12-20,9.14
2016-12-19,9.12
2016-12-16,9.11
2016-12-15,9.15
2016-12-14,9.12
2016-12-13,9.23
2016-12-12,9.22
2016-12-09,9.96
2016-12-08,9.68
2016-12-07,9.92
2016-12-06,9.66
2016-12-05,9.59
2016-12-02,9.64
2016-12-01,9.9
2016-11-30,9.82
2016-11-29,9.99
2016-11-28,10.22
2016-11-25,10.25
2016-11-24,9.84
2016-11-23,10.1
2016-11-22,9.84
2016-11-21,9.84
2016-11-18,9.92
2016-11-17,9.94
2016-11-16,9.72
2016-11-15,9.88
2016-11-14,9.72
2016-11-11,9.77
2016-11-10,9.75
2016-11-09,9.57
2016-11-08,9.68
2016-11-07,9.68
2016-11-04,9.75
2016-11-03,9.9
2016-11-02,9.79
2016-11-01,9.5
2016-10-31,9.19
2016-10-28,9.13
2016-10-27,9.12
2016-10-26,9.19
2016-10-25,9.33
2016-10-24,9.32
2016-10-21,9.3
2016-10-20,9.53
2016-10-19,9.34
2016-10-18,9.38
2016-10-17,9.24
2016-10-14,9.38
2016-10-13,9.45
2016-10-12,9.44
2016-10-11,9.56
2016-10-10,9.05
2016-09-30,9.41
2016-09-29,9.35
2016-09-28,9.26
2016-09-27,9.21
2016-09-26,9.13
2016-09-23,9.34
2016-09-22,9.42
2016-09-21,9.27
2016-09-20,9.26
2016-09-19,9.28
2016-09-14,9.05
2016-09-13,9.04
2016-09-12,9.05
2016-09-09,9.22
2016-09-08,9.21
2016-09-07,9.11
2016-09-06,9.2
2016-09-05,9.13
2016-09-02,9.14
2016-09-01,9.15
2016-08-31,9.53
2016-08-30,9.49
2016-08-29,9.38
2016-08-26,9.32
2016-08-25,9.36
2016-08-24,9.61
2016-08-23,9.79
2016-08-22,9.83
2016-08-19,9.99
2016-08-18,10.29
2016-08-17,10.25
2016-08-16,10.35
2016-08-15,10.5
2016-08-12,10.47
2016-08-11,9.93
2016-08-10,10.18
2016-08-09,10.52
2016-08-08,10.35
2016-08-05,9.77
2016-08-04,9.23
2016-08-03,9.32
2016-08-02,9.26
2016-08-01,9.11
2016-07-29,8.99
2016-07-28,8.9
2016-07-27,8.97
2016-07-26,9.33
2016-07-25,9.23
2016-07-22,9.12
2016-07-21,9.33
2016-07-20,9.32
2016-07-19,9.34
2016-07-18,9.28
2016-07-15,9.44
2016-07-14,9.43
2016-07-13,9.46
2016-07-12,9.24
2016-07-11,9.19
2016-07-08,9.31
2016-07-07,9.24
2016-07-06,9.41
2016-07-05,9.44
2016-07-04,9.44
2016-07-01,9.27
2016-06-30,9.24
2016-06-29,9.15
2016-06-28,9.15
2016-06-27,8.99
2016-06-24,8.75
2016-06-23,8.96
2016-06-22,9.1
2016-06-21,9.1
2016-06-20,8.98
2016-06-17,8.77
2016-06-16,8.71
2016-06-15,8.81
2016-06-14,8.53
2016-06-13,8.47
2016-06-08,8.87
2016-06-07,8.89
2016-06-06,8.84
2016-06-03,8.89
2016-06-02,8.81
2016-06-01,8.81
2016-05-31,8.87
2016-05-30,8.54
2016-05-27,8.79
2016-05-26,9.04
2016-05-25,8.22
2016-05-24,8.21
2016-05-23,8.28
2016-05-20,8.22
2016-05-19,8.21
2016-05-18,8.23
2016-05-17,8.44
2016-05-16,8.49
2016-05-13,8.41
2016-05-12,8.41
2016-05-11,8.58
2016-05-10,8.83
2016-05-09,8.74
2016-05-06,9.3
2016-05-05,9.61
2016-05-04,9.6
2016-05-03,9.57
2016-04-29,9.28
2016-04-28,9.28
2016-04-27,9.28
2016-04-26,9.21
2016-04-25,9.12
2016-04-22,9.23
2016-04-21,9.3
2016-04-20,9.32
2016-04-19,9.83
2016-04-18,9.82
2016-04-15,9.72
2016-04-14,9.64
2016-04-13,9.52
2016-04-12,9.51
2016-04-11,9.62
2016-04-08,9.25
2016-04-07,9.28
2016-04-06,9.62
2016-04-05,9.51
2016-04-01,9.08
2016-03-31,9.16
2016-03-30,9.15
2016-03-29,8.92
2016-03-28,8.99
2016-03-25,9.15
2016-03-24,9.2
2016-03-23,9.15
2016-03-22,9.12
2016-03-21,9.37
2016-03-18,8.84
2016-03-17,8.48
2016-03-16,8.31
2016-03-15,8.48
2016-03-14,8.37
2016-03-11,8.04
2016-03-10,8.16
2016-03-09,8.19
2016-03-08,8.75
2016-03-07,8.87
2016-03-04,8.7
2016-03-03,9.06
2016-03-02,9.11
2016-03-01,8.28
2016-02-29,8.11
2016-02-26,8.33
2016-02-25,8.45
2016-02-24,9.38
2016-02-23,9.29
2016-02-22,9.41
2016-02-19,8.97
2016-02-18,9.0
2016-02-17,9.01
2016-02-16,8.89
2016-02-15,8.56
2016-02-05,8.84
2016-02-04,8.69
2016-02-03,8.68
2016-02-02,8.77
2016-02-01,8.79
2016-01-29,8.52
2016-01-28,7.75
2016-01-27,7.61
2016-01-26,7.7
2016-01-25,8.37
2016-01-22,8.26
2016-01-21,8.52
2016-01-20,9.04
2016-01-19,9.38
2016-01-18,9.01
2016-01-15,9.26
2016-01-14,9.63
2016-01-13,9.46
2016-01-12,9.73
2016-01-11,9.25
2016-01-08,9.53
2016-01-07,9.23
2016-01-06,10.01
2016-01-05,9.81
2016-01-04,9.63
