x,close
2016-12-30,4.16
2016-12-29,4.11
2016-12-28,4.11
2016-12-27,4.15
2016-12-26,4.18
2016-12-23,4.25
2016-12-22,4.3
2016-12-21,4.31
2016-12-20,4.29
2016-12-19,4.34
2016-12-16,4.35
2016-12-15,4.27
2016-12-14,4.31
2016-12-13,4.38
2016-12-12,4.38
2016-12-09,4.54
2016-12-08,4.51
2016-12-07,4.59
2016-12-06,4.56
2016-12-05,4.54
2016-12-02,4.59
2016-12-01,4.81
2016-11-30,4.7
2016-11-29,4.72
2016-11-28,4.92
2016-11-25,4.97
2016-11-24,4.94
2016-11-23,4.81
2016-11-22,4.77
2016-11-21,4.79
2016-11-18,4.83
2016-11-17,4.89
2016-11-16,4.9
2016-11-15,4.87
2016-11-14,4.87
2016-11-11,4.81
2016-11-10,4.75
2016-11-09,4.7
2016-11-08,4.68
2016-11-07,4.74
2016-11-04,4.74
2016-11-03,4.72
2016-11-02,4.69
2016-11-01,4.72
2016-10-31,4.69
2016-10-28,4.65
2016-10-27,4.65
2016-10-26,4.72
2016-10-25,4.68
2016-10-24,4.72
2016-10-21,4.62
2016-10-20,4.68
2016-10-19,4.46
2016-10-18,4.34
2016-10-17,4.28
2016-10-14,4.26
2016-10-13,4.28
2016-10-12,4.29
2016-10-11,4.27
2016-10-10,4.23
2016-09-30,4.41
2016-09-29,4.29
2016-09-28,4.37
2016-09-27,4.51
2016-09-26,4.41
2016-09-23,4.46
2016-09-22,4.49
2016-09-21,4.41
2016-09-20,4.42
2016-09-19,4.41
2016-09-14,4.36
2016-09-13,4.39
2016-09-12,4.4
2016-09-09,4.35
2016-09-08,4.41
2016-09-07,4.43
2016-09-06,4.45
2016-09-05,4.42
2016-09-02,4.47
2016-09-01,4.45
2016-08-31,4.55
2016-08-30,4.47
2016-08-29,4.47
2016-08-26,4.44
2016-08-25,4.54
2016-08-24,4.52
2016-08-23,4.48
2016-08-22,4.58
2016-08-19,4.68
2016-08-18,4.85
2016-08-17,4.5
2016-08-16,4.56
2016-08-15,4.55
2016-08-12,4.4
2016-08-11,4.28
2016-08-10,4.22
2016-08-09,4.21
2016-08-08,4.2
2016-08-05,4.16
2016-08-04,4.19
2016-08-03,4.15
2016-08-02,4.17
2016-08-01,4.14
2016-07-29,4.17
2016-07-28,4.25
2016-07-27,4.28
2016-07-26,4.4
2016-07-25,4.37
2016-07-22,4.35
2016-07-21,4.43
2016-07-20,4.45
2016-07-19,4.41
2016-07-18,4.4
2016-07-15,4.32
2016-07-14,4.27
2016-07-13,4.25
2016-07-12,4.22
2016-07-11,4.23
2016-07-08,4.23
2016-07-07,4.27
2016-07-06,4.32
2016-07-05,4.33
2016-07-04,4.28
2016-07-01,4.2
2016-06-30,4.18
2016-06-29,4.22
2016-06-28,4.2
2016-06-27,4.23
2016-06-24,3.94
2016-06-23,3.99
2016-06-22,4.0
2016-06-21,3.98
2016-06-20,3.96
2016-06-17,3.98
2016-06-16,3.96
2016-06-15,3.97
2016-06-14,3.89
2016-06-13,3.82
2016-06-08,4.0
2016-06-07,3.97
2016-06-06,3.99
2016-06-03,3.91
2016-06-02,3.91
2016-06-01,3.9
2016-05-31,3.89
2016-05-30,3.78
2016-05-27,3.8
2016-05-26,3.83
2016-05-25,3.85
2016-05-24,3.75
2016-05-23,3.82
2016-05-20,3.79
2016-05-19,3.77
2016-05-18,3.81
2016-05-17,3.8
2016-05-16,3.85
2016-05-13,3.86
2016-05-12,3.92
2016-05-11,3.81
2016-05-10,3.76
2016-05-09,3.73
2016-05-06,3.75
2016-05-05,3.84
2016-05-04,3.81
2016-05-03,3.74
2016-04-29,3.63
2016-04-28,3.65
2016-04-27,3.66
2016-04-26,3.65
2016-04-25,3.63
2016-04-22,3.69
2016-04-21,3.67
2016-04-20,3.72
2016-04-19,3.89
2016-04-18,3.89
2016-04-15,3.98
2016-04-14,3.99
2016-04-13,3.98
2016-04-12,3.89
2016-04-11,3.94
2016-04-08,3.88
2016-04-07,3.92
2016-04-06,3.99
2016-04-05,3.99
2016-04-01,3.97
2016-03-31,3.98
2016-03-30,4.03
2016-03-29,3.97
2016-03-28,3.96
2016-03-25,3.98
2016-03-24,3.89
2016-03-23,3.89
2016-03-22,3.91
2016-03-21,3.92
2016-03-18,3.86
2016-03-17,3.77
2016-03-16,3.71
2016-03-15,3.74
2016-03-14,3.72
2016-03-11,3.63
2016-03-10,3.65
2016-03-09,3.75
2016-03-08,3.83
2016-03-07,3.9
2016-03-04,3.88
2016-03-03,4.05
2016-03-02,3.94
2016-03-01,3.59
2016-02-29,3.5
2016-02-26,3.55
2016-02-25,3.52
2016-02-24,3.87
2016-02-23,3.84
2016-02-22,3.9
2016-02-19,3.85
2016-02-18,3.84
2016-02-17,3.92
2016-02-16,3.82
2016-02-15,3.69
2016-02-05,3.77
2016-02-04,3.87
2016-02-03,3.86
2016-02-02,3.91
2016-02-01,3.77
2016-01-29,3.77
2016-01-28,3.42
2016-01-27,3.49
2016-01-26,3.53
2016-01-25,3.85
2016-01-22,3.87
2016-01-21,3.85
2016-01-20,4.06
2016-01-19,3.89
2016-01-18,3.54
2016-01-15,3.54
2016-01-14,3.8
2016-01-13,3.78
2016-01-12,3.88
2016-01-11,3.89
2016-01-08,4.22
2016-01-07,4.09
2016-01-06,4.4
2016-01-05,4.31
2016-01-04,4.3
